小新TV1,#genre#
CCTV-10高清,http://guany.myds.me:25852/udp/233.50.201.122:5140
CCTV-11高清,http://guany.myds.me:25852/udp/233.50.201.11:5140
CCTV-12高清,http://guany.myds.me:25852/udp/233.50.200.21:5140
CCTV-12高清,http://guany.myds.me:25852/udp/233.50.201.123:5140
CCTV-13高清,http://guany.myds.me:25852/udp/233.50.200.111:5140
CCTV-13高清,http://guany.myds.me:25852/udp/233.50.201.246:5140
CCTV-14高清,http://guany.myds.me:25852/udp/233.50.200.103:5140
CCTV-14高清,http://guany.myds.me:25852/udp/233.50.200.20:5140
CCTV-14高清,http://guany.myds.me:25852/udp/233.50.201.124:5140
CCTV-16高清,http://guany.myds.me:25852/udp/233.50.200.112:5140
CCTV-16高清,http://guany.myds.me:25852/udp/233.50.201.192:5140
CCTV-17高清,http://guany.myds.me:25852/udp/233.50.200.113:5140
天津卫视高清,http://guany.myds.me:25852/udp/233.50.200.104:5140
天津卫视高清,http://guany.myds.me:25852/udp/233.50.201.104:5140
河北卫视高清,http://guany.myds.me:25852/udp/233.50.200.105:5140
河北卫视高清,http://guany.myds.me:25852/udp/233.50.201.140:5140
安徽卫视高清,http://guany.myds.me:25852/udp/233.50.200.106:5140
安徽卫视高清,http://guany.myds.me:25852/udp/233.50.201.113:5140
重庆卫视高清,http://guany.myds.me:25852/udp/233.50.200.114:5140
云南卫视高清,http://guany.myds.me:25852/udp/233.50.200.115:5140
四川卫视高清,http://guany.myds.me:25852/udp/233.50.200.118:5140
四川卫视高清,http://guany.myds.me:25852/udp/233.50.201.139:5140
江西卫视高清,http://guany.myds.me:25852/udp/233.50.200.119:5140
江西卫视高清,http://guany.myds.me:25852/udp/233.50.201.145:5140
江苏卫视高清,http://guany.myds.me:25852/udp/233.50.200.144:5140
江苏卫视高清,http://guany.myds.me:25852/udp/233.50.201.106:5140
东方卫视高清,http://guany.myds.me:25852/udp/233.50.200.146:5140
东方卫视高清,http://guany.myds.me:25852/udp/233.50.201.125:5140
湖北卫视高清,http://guany.myds.me:25852/udp/233.50.200.147:5140
湖北卫视高清,http://guany.myds.me:25852/udp/233.50.201.114:5140
广东卫视高清,http://guany.myds.me:25852/udp/233.50.200.149:5140
广东卫视高清,http://guany.myds.me:25852/udp/233.50.201.102:5140
北京卫视高清,http://guany.myds.me:25852/udp/233.50.200.179:5140
北京卫视高清,http://guany.myds.me:25852/udp/233.50.201.107:5140
广东卫视高清,http://guany.myds.me:25852/udp/233.50.200.187:5140
深圳卫视高清,http://guany.myds.me:25852/udp/233.50.200.188:5140
深圳卫视高清,http://guany.myds.me:25852/udp/233.50.201.101:5140
黑龙江卫高清,http://guany.myds.me:25852/udp/233.50.200.189:5140
黑龙江卫高清,http://guany.myds.me:25852/udp/233.50.201.115:5140
湖南卫视高清,http://guany.myds.me:25852/udp/233.50.200.190:5140
湖南卫视高清,http://guany.myds.me:25852/udp/233.50.201.103:5140
山东卫视高清,http://guany.myds.me:25852/udp/233.50.201.105:5140
辽宁卫视高清,http://guany.myds.me:25852/udp/233.50.201.141:5140
贵州卫视高清,http://guany.myds.me:25852/udp/233.50.201.142:5140
重庆卫视高清,http://guany.myds.me:25852/udp/233.50.201.143:5140
河南卫视高清,http://guany.myds.me:25852/udp/233.50.201.144:5140
东南卫视高清,http://guany.myds.me:25852/udp/233.50.201.146:5140

电影轮播,#genre#
香港经典,http://tc-tct.douyucdn2.cn/dyliveflv1a/122402rK7MO9bXSq_900.m3u8
国外大片,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.m3u8
经典电影,http://tc-tct.douyucdn2.cn/dyliveflv1a/85894rmovieChow_2000p.m3u8
生死狙击,http://tc-tct.douyucdn2.cn/dyliveflv1a/7439056rYiHdgWPW_2000.m3u8
穿越火线1,http://tc-tct.douyucdn2.cn/dyliveflv1a/605964rzzgGEOZHr_2000.m3u8
穿越火线2,http://tc-tct.douyucdn2.cn/dyliveflv1a/999rx47n2pp8pKD_2000.m3u8
小品轮播,http://tc-tct.douyucdn2.cn/dyliveflv1a/10153463r0oBSmAG.m3u8
游戏轮播1,http://tc-tct.douyucdn2.cn/dyliveflv1a/1863767rkpl2_2000p.m3u8
游戏轮播2,http://tc-tct.douyucdn2.cn/dyliveflv1a/9662891rlaeIAP3A_2000.m3u8
JJ斗地主,http://tc-tct.douyucdn2.cn/dyliveflv1a/488743rAHScWyyII_2000.m3u8
周星驰,http://tc-tct.douyucdn2.cn/dyliveflv1a/3637778raLSXdOdu_2000.m3u8
跑跑卡丁车,http://tc-tct.douyucdn2.cn/dyliveflv1a/7722576rWHyhVf6Z_2000.m3u8
CF手游,http://tc-tct.douyucdn2.cn/dyliveflv1a/868191rjy69PsEAz_2000.m3u8
QQ飞车,http://tc-tct.douyucdn2.cn/dyliveflv1a/5040227raXQRnvWY_2000.m3u8
游戏轮播,http://tc-tct.douyucdn2.cn/dyliveflv1a/522423rw7NgKaYl9_2000p.m3u8
绝地求生,http://tc-tct.douyucdn2.cn/dyliveflv1a/100rPCLP_2000.m3u8
DOTA2,http://tc-tct.douyucdn2.cn/dyliveflv1a/288016rlols5_2000.m3u8
游戏频道2,http://tc-tct.douyucdn2.cn/dyliveflv1a/3226194r73pCQamR_2000.m3u8
狼人杀,http://tc-tct.douyucdn2.cn/dyliveflv1a/4615959rUFUtiJ3v.m3u8
CSGO,http://tc-tct.douyucdn2.cn/dyliveflv1a/668668rKGc0VsmNo.m3u8
天涯明月刀,http://tc-tct.douyucdn2.cn/dyliveflv1a/447646rHZDeSGn5D_2000.m3u8
成龙,http://zby.xjqxz.top/cldy/live.m3u8
周星驰,http://zby.xjqxz.top/live12/live.m3u8
李连杰,http://zby.xjqxz.top/lljdy/live.m3u8
庆余年1,http://zby.xjqxz.top/live14/live.m3u8
雪地悍刀行,http://zby.xjqxz.top/live15/live.m3u8
狂飙,http://zby.xjqxz.top/live9/live.m3u8
甄嬛传,http://zby.xjqxz.top/live8/live.m3u8
电影轮播1,http://zby.xjqxz.top/live11/live.m3u8
电影轮播2,http://zby.xjqxz.top/live13/live.m3u8
电影轮播3,http://zby.xjqxz.top/live7/live.m3u8
电影轮播4,http://zby.xjqxz.top/live5/live.m3u8
电影_星爷,http://159.75.85.63:35455/huya/11342412
电影_英叔,http://159.75.85.63:35455/huya/11342421
电影_发哥,http://159.75.85.63:35455/huya/11342387
电影_成龙,http://159.75.85.63:35455/huya/11342386
电影_王晶,http://159.75.85.63:35455/huya/11602058
电影_沈腾,http://159.75.85.63:35455/huya/11601968
电影_黄渤,http://159.75.85.63:35455/huya/11352876
电影_强森,http://159.75.85.63:35455/huya/21059581
电影_漫威,http://159.75.85.63:35455/huya/11602034
电影_宇宙,http://159.75.85.63:35455/huya/11342428
电影_怪兽,http://159.75.85.63:35455/huya/21059577
电影_武侠,http://159.75.85.63:35455/huya/11342427
电影_警匪,http://159.75.85.63:35455/huya/11352886
电影_罪犯,http://159.75.85.63:35455/huya/11352962
电影_枪战,http://159.75.85.63:35455/huya/21059579
电影_海盗,http://159.75.85.63:35455/huya/21059595
电影_赛车,http://159.75.85.63:35455/huya/11279247
电影_推荐,http://159.75.85.63:35455/huya/11602041
电影_救援,http://159.75.85.63:35455/huya/21059594
电影_热血,http://159.75.85.63:35455/huya/11352934
电影_盗墓,http://159.75.85.63:35455/huya/21059552
电影_贺岁,http://159.75.85.63:35455/huya/11601971
电影_玄幻,http://159.75.85.63:35455/huya/11342414
电影_谍战,http://159.75.85.63:35455/huya/21059585
电影_战争,http://159.75.85.63:35455/huya/21059592
电影_喜剧,http://159.75.85.63:35455/huya/11352877
电影_港片,http://159.75.85.63:35455/huya/11602043
电影_国产,http://159.75.85.63:35455/huya/11352973
电影_周星星,http://159.75.85.63:35455/huya/11336587
电影_李连杰,http://159.75.85.63:35455/huya/11342390
电影_洪金宝,http://159.75.85.63:35455/huya/11279251
电影_梁家辉,http://159.75.85.63:35455/huya/11342429
电影_刘德华,http://159.75.85.63:35455/huya/11342424
电影_斯坦森,http://159.75.85.63:35455/huya/21059588
电影_小鬼头,http://159.75.85.63:35455/huya/11352963
电影_八点档,http://159.75.85.63:35455/huya/880261
电影_蜘蛛侠,http://159.75.85.63:35455/huya/21059599
电影_贺岁片,http://159.75.85.63:35455/huya/11601986
电影_功夫片,http://159.75.85.63:35455/huya/11352941
电影_黑帮片,http://159.75.85.63:35455/huya/11336719
电影_丧尸片,http://159.75.85.63:35455/huya/21059578
电影_灾难片,http://159.75.85.63:35455/huya/11602075
电影_谍战片,http://159.75.85.63:35455/huya/21059587
电影_战争片,http://159.75.85.63:35455/huya/21059574
电影_犯罪片,http://159.75.85.63:35455/huya/11352974
电影_古装片,http://159.75.85.63:35455/huya/11336590
电影_高分动作,http://159.75.85.63:35455/huya/11352884
电影_动作电影,http://159.75.85.63:35455/huya/11602077
电影_搞笑喜剧,http://159.75.85.63:35455/huya/11342423
电影_喜剧专场,http://159.75.85.63:35455/huya/11602044
电影_欢笑影院,http://159.75.85.63:35455/huya/11352894
电影_不挤影院,http://159.75.85.63:35455/huya/11352897
电影_国产悬疑,http://159.75.85.63:35455/huya/11342395
电影_快意江湖,http://159.75.85.63:35455/huya/11342435
电影_黑帮斗争,http://159.75.85.63:35455/huya/11342419
电影_嫣然影厅,http://159.75.85.63:35455/huya/11601977
电影_许氏三杰,http://159.75.85.63:35455/huya/11602033
电影_经典港片,http://159.75.85.63:35455/huya/11352965
电影_镖行天下,http://159.75.85.63:35455/huya/11352969
电影_高能反转,http://159.75.85.63:35455/huya/11352887
电影_喜乐影院,http://159.75.85.63:35455/huya/21059580
电影_蘑菇影厅,http://159.75.85.63:35455/huya/11601981
电影_搞笑恐怖,http://159.75.85.63:35455/huya/11601960
电影_死神来了,http://159.75.85.63:35455/huya/11352903
电影_变形金刚,http://159.75.85.63:35455/huya/21059596
电影_怪兽系列,http://159.75.85.63:35455/huya/21059554
剧集_老三国,http://159.75.85.63:35455/huya/11602081
剧集_新三国,http://159.75.85.63:35455/huya/11352944
剧集_新水浒,http://159.75.85.63:35455/huya/11342384
剧集_纪晓岚,http://159.75.85.63:35455/huya/11342396
剧集_庆余年,http://159.75.85.63:35455/huya/11352960
剧集_雍正王朝,http://159.75.85.63:35455/huya/11342439
剧集_士兵突击,http://159.75.85.63:35455/huya/11342430
剧集_爱情公寓,http://159.75.85.63:35455/huya/11336726
剧集_武林外传,http://159.75.85.63:35455/huya/21059598
剧集_地下交通站,http://159.75.85.63:35455/huya/11342433
剧集_邻里一家亲,http://159.75.85.63:35455/huya/11342426
搞笑_陈翔六点半,http://159.75.85.63:35455/huya/11274154
解说_鹿哥电影,http://159.75.85.63:35455/huya/24396360
解说_斌哥漫说,http://159.75.85.63:35455/huya/18632116
解说_续哥说电影,http://159.75.85.63:35455/huya/24396472
解说_小川侃电影,http://159.75.85.63:35455/huya/15870999
解说_阿良说剧,http://159.75.85.63:35455/huya/20488841
解说_鱼丸电影,http://159.75.85.63:35455/huya/16615910
解说_阿斗说电影,http://159.75.85.63:35455/huya/13303478
解说_扁豆看电影,http://159.75.85.63:35455/huya/16028551
解说_乌贼说电影,http://159.75.85.63:35455/huya/16604522
解说_大象放映室,http://159.75.85.63:35455/huya/21277391
解说_科幻梦工场,http://159.75.85.63:35455/huya/15152155
解说_亮哥讲电影,http://159.75.85.63:35455/huya/16144175
解说_越哥说电影,http://159.75.85.63:35455/huya/15894162
解说_小冉看电影,http://159.75.85.63:35455/huya/17341907
解说_阿翔说电影,http://159.75.85.63:35455/huya/16868935
解说_虎妞说电影,http://159.75.85.63:35455/huya/20343144
解说_涵哥评电影,http://159.75.85.63:35455/huya/16865726
解说_老皮讲电影,http://159.75.85.63:35455/huya/16968572
解说_默爷侃电影,http://159.75.85.63:35455/huya/17204307
解说_冷君说电影,http://159.75.85.63:35455/huya/16739452
解说_恐怖电影解说,http://159.75.85.63:35455/huya/16741179
许氏三杰,http://159.75.85.63:35455/huya/11602033
许冠英,http://159.75.85.63:35455/huya/11601972
五福星,http://159.75.85.63:35455/huya/11282233
周星驰,http://159.75.85.63:35455/huya/11342412
成龙,http://159.75.85.63:35455/huya/11342386
成龙2,http://jxiptv.xn--9kqp7k2rd.com/svip/YY_.php?t=1354888751
周润发,http://159.75.85.63:35455/huya/11342387
李连杰,http://159.75.85.63:35455/huya/11342390
邱淑贞,http://159.75.85.63:35455/huya/11352949
刘德华,http://159.75.85.63:35455/huya/11342424
林正英,http://159.75.85.63:35455/huya/11342421
徐峥,http://159.75.85.63:35455/huya/11602043
沈腾,http://159.75.85.63:35455/huya/11601968
古天乐,http://159.75.85.63:35455/huya/11602041
洪金宝,http://159.75.85.63:35455/huya/11279251
徐克,http://159.75.85.63:35455/huya/11352909
黄渤,http://159.75.85.63:35455/huya/11352876
斗罗大陆,http://159.75.85.63:35455/huya/11352906
小马的直播间,http://159.75.85.63:35455/huya/23749096
孙悟空,http://159.75.85.63:35455/huya/23735126
张卫健版西游记,http://159.75.85.63:35455/huya/23728660
楚汉骄雄,http://159.75.85.63:35455/huya/23740156
鹿鼎记小春版,http://159.75.85.63:35455/huya/23865080
天龙八部97版,http://159.75.85.63:35455/huya/23903123
刑事侦缉档案,http://159.75.85.63:35455/huya/23734169
寻秦记,http://159.75.85.63:35455/huya/23864973
法证先锋,http://159.75.85.63:35455/huya/23863804
陀枪师姐,http://159.75.85.63:35455/huya/23860039
笑傲江湖,http://159.75.85.63:35455/huya/23865142
洗冤录,http://159.75.85.63:35455/huya/23903130
倚天屠龙记,http://159.75.85.63:35455/huya/23734246
神雕侠侣,http://159.75.85.63:35455/huya/23865171
鉴证实录,http://159.75.85.63:35455/huya/23903183
创世纪,http://159.75.85.63:35455/huya/23749083
使徒行者,http://159.75.85.63:35455/huya/23734256
金枝欲孽,http://159.75.85.63:35455/huya/23865036
大唐双龙传,http://159.75.85.63:35455/huya/23728674
妙手仁心,http://159.75.85.63:35455/huya/23829543
扫黄先锋,http://159.75.85.63:35455/huya/23903196
笑看风云,http://159.75.85.63:35455/huya/23865058
大时代,http://159.75.85.63:35455/huya/23865161
梁朝伟版鹿鼎记,http://159.75.85.63:35455/huya/23734183
野蛮亲家血腥对线,http://159.75.85.63:35455/huya/23863796
射雕之九阴真经,http://159.75.85.63:35455/huya/23824164
粤语综艺,http://159.75.85.63:35455/douyu/7919720
华语经典,http://159.75.85.63:35455/douyu/434971
吃米滴虫,http://159.75.85.63:35455/douyu/315457
神乐影片,http://159.75.85.63:35455/douyu/85894
特辑影院,http://159.75.85.63:35455/douyu/3637778
贝爷MAX厅,http://159.75.85.63:35455/douyu/4332
漫威影片,http://159.75.85.63:35455/douyu/6140589
刘德华电影1,http://159.75.85.63:35455/douyu/2516864
豆瓣高分,http://159.75.85.63:35455/douyu/8770422
林正英电影1,http://159.75.85.63:35455/douyu/218859
林正英电影2,http://159.75.85.63:35455/douyu/7356023
贝爷影厅1,http://159.75.85.63:35455/douyu/252802
贝爷影厅2,http://159.75.85.63:35455/douyu/36337
霍格影片,http://159.75.85.63:35455/douyu/8814650
可乐电影,http://159.75.85.63:35455/douyu/20415
奶虫恐怖电影,http://159.75.85.63:35455/douyu/263824
恐怖经典,http://159.75.85.63:35455/douyu/1165374
变种人电影,http://159.75.85.63:35455/douyu/9651304
华语电影,http://159.75.85.63:35455/douyu/3928
连续剧1,http://159.75.85.63:35455/douyu/4549169
连续剧2,http://159.75.85.63:35455/douyu/7623292
游戏解说,http://159.75.85.63:35455/douyu/805235
斗鱼小品,http://159.75.85.63:35455/douyu/3980787
斗鱼动画,http://159.75.85.63:35455/douyu/7528160
斗鱼电影1,http://159.75.85.63:35455/douyu/2935323
斗鱼电影2,http://159.75.85.63:35455/douyu/7459925
斗鱼电影3,http://159.75.85.63:35455/douyu/431460
斗鱼电影4,http://159.75.85.63:35455/douyu/4246519
斗鱼电影7,http://159.75.85.63:35455/douyu/7655471
斗鱼电影9,http://159.75.85.63:35455/douyu/6566671
斗鱼电影10,http://159.75.85.63:35455/douyu/8475821
斗鱼电影11,http://159.75.85.63:35455/douyu/338759
斗鱼电影12,http://159.75.85.63:35455/douyu/2793084
斗鱼电影13,http://159.75.85.63:35455/douyu/5067952
斗鱼电影14,http://159.75.85.63:35455/douyu/413573
斗鱼电影15,http://159.75.85.63:35455/douyu/5033502
斗鱼电影16,http://159.75.85.63:35455/douyu/426517
斗鱼电影18,http://159.75.85.63:35455/douyu/7314294
斗鱼电影19,http://159.75.85.63:35455/douyu/6582435
斗鱼电影20,http://159.75.85.63:35455/douyu/323876
斗鱼4K,http://159.75.85.63:35455/douyu/9249162
斗鱼电影HD1,http://159.75.85.63:35455/douyu/20415
斗鱼电影HD2,http://159.75.85.63:35455/douyu/10240553
斗鱼电影HD3,http://159.75.85.63:35455/douyu/122402
斗鱼电影HD4,http://159.75.85.63:35455/douyu/85894
斗鱼电影HD5,http://159.75.85.63:35455/douyu/263824
斗鱼电影HD6,http://159.75.85.63:35455/douyu/747764
斗鱼电影HD7,http://159.75.85.63:35455/douyu/20415
斗鱼电影HD8,http://159.75.85.63:35455/douyu/8663752
斗鱼电影HD9,http://159.75.85.63:35455/douyu/323876
斗鱼电影HD10,http://159.75.85.63:35455/douyu/6140589
斗鱼电影HD11,http://159.75.85.63:35455/douyu/8770422
斗鱼电影HD12,http://159.75.85.63:35455/douyu/2436390
斗鱼电影HD13,http://159.75.85.63:35455/douyu/218859
斗鱼电影HD14,http://159.75.85.63:35455/douyu/36337
斗鱼电影HD15,http://159.75.85.63:35455/douyu/413573
斗鱼电影HD16,http://159.75.85.63:35455/douyu/1504768
斗鱼电影HD17,http://159.75.85.63:35455/douyu/3637726
斗鱼电影HD18,http://159.75.85.63:35455/douyu/9292492
斗鱼电影HD19,http://159.75.85.63:35455/douyu/3637765rrt97
斗鱼电影HD20,http://159.75.85.63:35455/douyu/10395991
斗鱼电影HD21,http://159.75.85.63:35455/douyu/10395986
斗鱼电影HD22,http://159.75.85.63:35455/douyu/252802
斗鱼电影HD23,http://159.75.85.63:35455/douyu/6079455
斗鱼电影HD24,http://159.75.85.63:35455/douyu/315131
斗鱼电影HD25,http://159.75.85.63:35455/douyu/8945323
斗鱼电影HD26,http://159.75.85.63:35455/douyu/2516864
斗鱼电影HD27,http://159.75.85.63:35455/douyu/248753
斗鱼电影HD28,http://159.75.85.63:35455/douyu/4332
斗鱼电影HD29,http://159.75.85.63:35455/douyu/9651304
斗鱼电影HD30,http://159.75.85.63:35455/douyu/9650887
斗鱼电影HD31,http://159.75.85.63:35455/douyu/8814650
斗鱼电影HD32,http://159.75.85.63:35455/douyu/10240510
斗鱼电影HD33,http://159.75.85.63:35455/douyu/52787
斗鱼电影HD34,http://159.75.85.63:35455/douyu/8985415
斗鱼电影HD35,http://159.75.85.63:35455/douyu/1165374
斗鱼电影HD36,http://159.75.85.63:35455/douyu/1735337
斗鱼电影HD37,http://159.75.85.63:35455/douyu/6537888
斗鱼电影HD38,http://159.75.85.63:35455/douyu/6003761
斗鱼电影HD39,http://159.75.85.63:35455/douyu/9683979
斗鱼电影HD40,http://159.75.85.63:35455/douyu/1226741
斗鱼电影HD41,http://159.75.85.63:35455/douyu/59612
斗鱼电影HD42,http://159.75.85.63:35455/douyu/925724
斗鱼搞笑HD1,http://159.75.85.63:35455/douyu/9220456
斗鱼搞笑HD2,http://159.75.85.63:35455/douyu/9770949
斗鱼搞笑HD3,http://159.75.85.63:35455/douyu/9067836
斗鱼搞笑HD4,http://159.75.85.63:35455/douyu/9817729
斗鱼搞笑HD5,http://159.75.85.63:35455/douyu/8737695
瑶瑶恐怖㊣版,http://159.75.85.63:35455/douyu/2935323
怡寶影院㊣版,http://159.75.85.63:35455/douyu/434971
小黛兮影㊣版,http://159.75.85.63:35455/douyu/11553944
神乐影院-1台,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1/85894rmovieChow_900p.m3u8
神乐影院-2台,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1a/122402rK7MO9bXSq_900.m3u8
喜剧电影,http://159.75.85.63:35455/douyu/2935323
译制国语,http://159.75.85.63:35455/douyu/2436390
粤语电影,http://159.75.85.63:35455/douyu/1226741
豆瓣高分,http://159.75.85.63:35455/douyu/8770422
米滴虫,http://159.75.85.63:35455/douyu/315457
